Date,Weekday,Daypart,OWNER,Station,Time Played,Artist,Title,Rel. Date,GRC,genre,ensemble,gender,race,b2b_gender
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,9:45 am,"BARRETT, GABBY",I Hope f/Charlie Puth,2019,G,c-,solo,women,white,X
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,9:49 am,"BRYAN, LUKE",Waves,2021,R,c-,solo,men,white,X
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,9:52 am,"OWEN, JAKE",The One That Got Away,2011,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,10:03 am,"RHETT, THOMAS",Sixteen,2017,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,10:05 am,"LYNCH, DUSTIN",Thinking 'Bout You f/M. Porter,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,10:08 am,"WALLEN, MORGAN",More Than My Hometown,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,10:12 am,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,2021,R,c-,collab,women,white,X
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,10:15 am,"BRICE, LEE",Parking Lot Party,2012,G,c-,solo,men,white,X
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,10:18 am,"COMBS, LUKE",Forever After All,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,10:22 am,"HUNT, SAM",Hard To Forget,2020,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,10:31 am,"LAMBERT, MIRANDA",If I Was A Cowboy,2021,R,c-,solo,women,white,X
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,10:34 am,MADDIE & TAE,Die From A Broken Heart,2018,G,c-,duo,women,white,B2Bwomen
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,10:37 am,"MOON, NIKO",Good Time,2019,R,c-,solo,men,white,X
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,10:41 am,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,10:44 am,"YOUNG, CHRIS/BROWN, KANE",Famous Friends,2020,R,c-,collab,men,multiethnic,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,10:47 am,"MOORE, JUSTIN",We Didn't Have Much,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,10:49 am,"OWEN, JAKE",Homemade,2019,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,10:52 am,"MCGRAW, TIM",Live Like You Were Dying,2004,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,11:04 am,"LYNCH, DUSTIN",Ridin' Roads,2019,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,11:08 am,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,11:11 am,"BRICE, LEE",One Of Them Girls,2020,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,11:14 am,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,11:16 am,"HAYES, WALKER",Fancy Like,2021,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,11:19 am,"DAVIS, JORDAN",Buy Dirt f/Luke Bryan,2021,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,11:22 am,"PARDI, JON",Ain't Always The Cowboy,2019,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,11:31 am,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,2021,R,c-,collab,male-female,white,X
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,11:34 am,"YOUNG, CHRIS",Raised On Country,2019,G,c-,solo,men,white,X
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,11:37 am,"ALDEAN, JASON",Got What I Got,2019,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,11:40 am,"MCCOLLUM, PARKER",To Be Loved By You,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,11:43 am,LADY ANTEBELLUM,Champagne Night,2020,R,c-,trio,male-female,white,X
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,11:46 am,"YOUNG, BRETT",Lady,2020,R,c-,solo,men,white,X
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,11:49 am,"JOHNSON, CODY",Til You Can't,2021,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,11:52 am,"BENTLEY, DIERKS",Living,2018,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,12:02 pm,"BALLERINI, KELSEA",Peter Pan,2015,G,c-,solo,women,white,X
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,12:05 pm,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,X
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,12:09 pm,"SHELTON, BLAKE",Happy Anywhere f/Gwen Stefani,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,12:11 pm,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,12:15 pm,"BRYAN, LUKE",Roller Coaster,2013,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,12:19 pm,"RICE, CHASE/FLORIDA GEORGIA LINE",Drinkin' Beer Talkin' God Amen,2020,R,c-,collab,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,12:21 pm,"BENTLEY, DIERKS","Woman, Amen",2018,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,12:24 pm,"STELL, MATT",Everywhere But On,2019,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,12:32 pm,"COMBS, LUKE",Doin' This,2021,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,12:36 pm,"LAMBERT, MIRANDA",Settling Down,2019,R,c-,solo,women,white,X
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,12:40 pm,"RHETT, THOMAS",What's Your Country Song,2020,R,c-,solo,men,white,X
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,12:42 pm,ZAC BROWN BAND,Same Boat,2021,R,c-,group,men,white,B2Bman
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,12:45 pm,"WILSON, LAINEY",Things A Man Oughta Know,2019,R,c-,solo,women,white,X
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,12:49 pm,"BALLERINI, KELSEA",Hole In The Bottle,2020,R,c-,solo,women,white,B2Bwomen
7/1/2022,"Friday, Morris",MID,Cumulus,WKDF-FM,12:51 pm,"SWINDELL, COLE",Let Me See Ya Girl,2014,G,c-,solo,men,white,X
